date,time,ring,category,phase,red,blue,result,pending,winner_corner,red_points,blue_points,decision,agecat,weightcat,poule,seen_under
2026-09-10,09:00,1,Senior Men Assaut -75 kg,poule,Farkas Botond,Mohamed Sidiki GUISSE,3-1,False,red,3,1,points,5,7,A,Guinea Conakry
2026-09-10,09:00,2,Senior Men Assaut -80 kg,poule,AmirReza Zarghani,KOSTIUK NAZARII,3-1,False,red,3,1,points,5,9,F,Iran
2026-09-10,09:00,3,Senior Men Assaut +85 kg,poule,Pharelle Wilson AKOUAN,Balla TRAORÉ,1-3,False,blue,1,3,points,5,11,D,Cameroon
2026-09-10,09:13,1,Senior Men Assaut -75 kg,poule,VOINOV VITALII,GAREL Florian,1-3,False,blue,1,3,points,5,7,B,Chinese Taipei
2026-09-10,09:13,2,Senior Men Assaut -80 kg,poule,TOGNOCCHI JULIEN,BIENVENU Jovan,1-3,False,blue,1,3,points,5,9,F,Belgium
2026-09-10,09:13,3,Senior Men Assaut +85 kg,poule,Gabriele Fioravanti,Keivan Zarghani,3-1,False,red,3,1,points,5,11,D,Iran
2026-09-10,09:26,1,Senior Men Assaut -75 kg,poule,Kevin Truesdale,Bartol Pavičić,1-3,False,blue,1,3,points,5,7,C,Croatia
2026-09-10,09:26,2,Senior Men Assaut -70 kg,poule,HÜSEYİN KARAAĞAÇ,Yonier Mauricio Cruz Salamanca,1-3,False,blue,1,3,points,5,6,A,Colombia
2026-09-10,09:26,3,Senior Men Assaut -60kg,poule,Andrei KOTOCHIGOV,Gregory THOMASOO,1-3,False,blue,1,3,points,5,4,A,Mauritius
2026-09-10,09:39,1,Senior Men Assaut -75 kg,poule,NYAMA André,NG KWAI LAP,3-1,False,red,3,1,points,5,7,D,Cameroon
2026-09-10,09:39,2,Senior Men Assaut -70 kg,poule,Yordan Yordanov,Mihajlo Dodić,3-1,False,red,3,1,points,5,6,B,Bulgaria
2026-09-10,09:39,3,Senior Men Assaut -60kg,poule,Kais Garayalde,Robin Drigues,3-1,False,red,3,1,points,5,4,B,Algeria
2026-09-10,09:52,1,Senior Men Assaut -75 kg,poule,Johannes Stindt,Farzam Fallah,1-3,False,blue,1,3,points,5,7,E,Germany
2026-09-10,09:52,2,Senior Men Assaut -70 kg,poule,Narek BABADZHANIAN,Robert Rijetković,1-3,False,blue,1,3,points,5,6,C,Croatia
2026-09-10,09:52,3,Senior Men Assaut -60kg,poule,TONG SIU WANG VINCENT,Yasin IBRAHIMOV,1-3,False,blue,1,3,points,5,4,C,Azerbaijan
2026-09-10,10:05,1,Senior Men Assaut -75 kg,poule,D'ERRICO JULIEN,CAMARA Mohamadou,3-1,False,red,3,1,points,5,7,F,Belgium
2026-09-10,10:05,2,Senior Men Assaut -70 kg,poule,Tommaso Mari,Sergey Drobinsky,3-1,False,red,3,1,points,5,6,D,Germany
