tournament,placing_id,category,gender,age_class,weight_kg,weight_bound,rank,medal,fighter,country,club,weighed,result_source
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0001,-56kg,,,56,under,3,bronze,CARBONE Richard,,Fédération Italienne de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0002,-56kg,,,56,under,3,bronze,MÉNDEZ SILVA Alberto,Savate,Asociacion Galega Paro o desenvolvemento do,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0003,56-60kg,,,60,under,3,bronze,PARODI Lorenzo,,Fédération Italienne de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0004,56-60kg,,,60,under,3,bronze,ALAMELLE Jianny,,Fédération Française de Savate Boxe Française,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0005,60-65kg,,,65,under,3,bronze,HROVATIN Matej,,Fédération Slovène de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0006,60-65kg,,,65,under,3,bronze,CARUSO Alessandro,,Fédération Italienne de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0007,65-70kg,,,70,under,3,bronze,VANHOECKE Chris,,Fédération Belge de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0008,65-70kg,,,70,under,3,bronze,GAGGERO Marco,,Fédération Italienne de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0009,70-75kg,,,75,under,3,bronze,PIRSON Laurent,,Fédération Belge de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0010,70-75kg,,,75,under,3,bronze,ESTEVEZ Felipe,Savate,Asociacion Galega Paro o desenvolvemento do,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0011,75-80kg,,,80,under,3,bronze,MONSEUR Gérard,,Fédération Belge de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0012,75-80kg,,,80,under,3,bronze,GENOVESE Danilo,,Fédération Italienne de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0013,80-85kg,,,85,under,3,bronze,BORDERA VÁZQUEZ Nicolás,Savate,Asociacion Galega Paro o desenvolvemento do,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0014,80-85kg,,,85,under,3,bronze,PAPADOPOULOS Arestide,,Fédération Allemande de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0015,+85kg,,,85,over,3,bronze,BÖNISCH Volker,,Fédération Allemande de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0016,+85kg,,,85,over,3,bronze,MILETIC Zoran,,Fédération Croate de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0017,-48kg,,,48,under,3,bronze,ALESSANDRONI Denise,,Fédération Italienne de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0018,48-52kg,,,52,under,3,bronze,MANDEFU Rebecca,,Fédération Belge de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0019,48-52kg,,,52,under,3,bronze,PIFFER Francesca,,Fédération Italienne de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0020,52-56kg,,,56,under,3,bronze,ZEKIC Sandra,,Fédération Serbe de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0021,52-56kg,,,56,under,3,bronze,HORVAT Marina,,Fédération Croate de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0022,56-60kg,,,60,under,3,bronze,TANG Catherine,,Fédération Belge de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0023,56-60kg,,,60,under,3,bronze,GILBERT Laura,,Fédération de Grande Bretagne de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0024,60-65kg,,,65,under,3,bronze,RAVASI Valeria,,Fédération Italienne de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0025,60-65kg,,,65,under,3,bronze,VOLOTINEN Annukka,,Fédération Finlandaise de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0026,65-70kg,,,70,under,3,bronze,ARNOULD Julie,,Fédération Belge de Savate,,reported
fisav-european-championships-for-assaut-2009,fisav-european-championships-for-assaut-2009-0027,65-70kg,,,70,under,3,bronze,HAWKINS Lizzy,,Fédération de Grande Bretagne de Savate,,reported
