agecat,weightcat,poule,red,red_country,blue,blue_country,red_points,red_warnings,blue_points,blue_warnings
5,10,A,MASSAMBA MAR,Senegal,BERKE YILMAZ,Turkey,3,0,1,0
5,10,A,MASSAMBA MAR,Senegal,Riad Idjellidaine,Algeria,3,0,1,0
5,10,A,BERKE YILMAZ,Turkey,Riad Idjellidaine,Algeria,1,0,3,0
5,10,B,Olivier Foult,Canada,James Southwood,Great Britain,1,0,3,0
5,10,B,Olivier Foult,Canada,Luka Babić,Serbia,3,0,1,0
5,10,B,James Southwood,Great Britain,Luka Babić,Serbia,1,0,3,0
5,10,C,Nikolai IARANTSEV,Neutral Athlete,Vugar EYYUBOV,Azerbaijan,3,0,0,0
5,10,C,Nikolai IARANTSEV,Neutral Athlete,Emanuel Šprem,Croatia,1,1,3,0
5,10,C,Vugar EYYUBOV,Azerbaijan,Emanuel Šprem,Croatia,0,0,3,0
5,10,D,Basil Twayana,Nepal,Noah Kaergel,Germany,1,1,3,1
5,10,D,Basil Twayana,Nepal,Masoud Askari,Iran,1,0,3,0
5,10,D,Noah Kaergel,Germany,Masoud Askari,Iran,1,1,3,0
5,10,E,VAN HOECKE CHRIS,Belgium,DEMOUGEOT Franck,France,1,0,3,0
5,10,E,VAN HOECKE CHRIS,Belgium,CHEKH PAVLO,Ukraine,3,0,1,0
5,10,E,DEMOUGEOT Franck,France,CHEKH PAVLO,Ukraine,3,0,1,0
5,11,A,NAROU Yoann,France,Mutéba Orphée Francis FWAMBA,Democratic Republic of Congo,3,0,1,0
5,11,A,NAROU Yoann,France,Olivier Lafleur,Mauritius,3,1,1,2
5,11,A,Mutéba Orphée Francis FWAMBA,Democratic Republic of Congo,Olivier Lafleur,Mauritius,3,0,1,0
5,11,B,Sabri Sahraoui,Algeria,Anthony Colli,Canada,3,0,1,0
5,11,B,Sabri Sahraoui,Algeria,Zan ŠUBELJ,Slovenia,1,0,3,0
5,11,B,Anthony Colli,Canada,Zan ŠUBELJ,Slovenia,1,0,3,0
5,11,C,Nikola Vukčević,Serbia,Egor GOLOVCHENKO,Neutral Athlete,3,1,1,1
5,11,C,Nikola Vukčević,Serbia,Sanan BABAZADE,Azerbaijan,3,0,0,0
5,11,C,Nikola Vukčević,Serbia,Luka Sakač,Croatia,3,0,1,1
5,11,C,Egor GOLOVCHENKO,Neutral Athlete,Sanan BABAZADE,Azerbaijan,3,1,-1,3
5,11,C,Egor GOLOVCHENKO,Neutral Athlete,Luka Sakač,Croatia,1,2,3,1
5,11,C,Sanan BABAZADE,Azerbaijan,Luka Sakač,Croatia,1,1,3,2
5,11,D,Pharelle Wilson AKOUAN,Cameroon,Gabriele Fioravanti,Italy,3,0,1,1
5,11,D,Pharelle Wilson AKOUAN,Cameroon,Keivan Zarghani,Iran,3,0,0,0
5,11,D,Pharelle Wilson AKOUAN,Cameroon,Balla TRAORÉ,Mali,1,2,3,0
5,11,D,Gabriele Fioravanti,Italy,Keivan Zarghani,Iran,3,0,1,1
5,11,D,Gabriele Fioravanti,Italy,Balla TRAORÉ,Mali,1,0,3,0
5,11,D,Keivan Zarghani,Iran,Balla TRAORÉ,Mali,1,1,3,0
5,3,A,Cheikh THIAM,Senegal,SALDIRAY KALKAN,Turkey,3,0,-1,3
5,3,A,Cheikh THIAM,Senegal,Stephane Jonkeer,Mauritius,3,0,1,0
5,3,A,SALDIRAY KALKAN,Turkey,Stephane Jonkeer,Mauritius,-1,3,3,0
5,3,B,Li Yu Hung,Chinese Taipei,Anthony Ghassiri,Algeria,1,0,3,0
5,3,B,Li Yu Hung,Chinese Taipei,ALAKBAR KHANMAMMADOV,Azerbaijan,1,0,3,0
5,3,B,Li Yu Hung,Chinese Taipei,Liu KUBOTA,Japan,3,0,1,0
5,3,B,Anthony Ghassiri,Algeria,ALAKBAR KHANMAMMADOV,Azerbaijan,1,1,3,2
5,3,B,Anthony Ghassiri,Algeria,Liu KUBOTA,Japan,3,0,1,0
5,3,B,ALAKBAR KHANMAMMADOV,Azerbaijan,Liu KUBOTA,Japan,3,0,1,0
5,3,C,Abolfazl Dowlat Abadi,Iran,PECQUET BAPTISTE,Belgium,3,0,1,1
5,3,C,Abolfazl Dowlat Abadi,Iran,CAVROT-WESTERLINCK Ethan,France,-1,3,3,1
5,3,C,Abolfazl Dowlat Abadi,Iran,Johan Felipe Caballos Peña,Colombia,1,1,3,1
5,3,C,PECQUET BAPTISTE,Belgium,CAVROT-WESTERLINCK Ethan,France,1,1,3,1
5,3,C,PECQUET BAPTISTE,Belgium,Johan Felipe Caballos Peña,Colombia,3,1,1,1
5,3,C,CAVROT-WESTERLINCK Ethan,France,Johan Felipe Caballos Peña,Colombia,3,0,1,0
5,4,A,Sajti Benjamin,Hungary,Andrei KOTOCHIGOV,Neutral Athlete,1,2,3,2
5,4,A,Sajti Benjamin,Hungary,Gregory THOMASOO,Mauritius,1,0,3,0
5,4,A,Andrei KOTOCHIGOV,Neutral Athlete,Gregory THOMASOO,Mauritius,1,1,3,0
5,4,B,Sim Cong Yu,Chinese Taipei,Kais Garayalde,Algeria,1,0,3,0
5,4,B,Sim Cong Yu,Chinese Taipei,Robin Drigues,Canada,1,0,3,0
5,4,B,Kais Garayalde,Algeria,Robin Drigues,Canada,3,0,1,0
5,4,C,Alen Nokaj,Croatia,TONG SIU WANG VINCENT,"Hong Kong, China",3,0,1,0
5,4,C,Alen Nokaj,Croatia,Yasin IBRAHIMOV,Azerbaijan,1,2,3,2
5,4,C,TONG SIU WANG VINCENT,"Hong Kong, China",Yasin IBRAHIMOV,Azerbaijan,1,1,3,0
5,4,D,Kenta FUNAYAMA,Japan,Sajjad Dareini,Iran,1,0,3,0
5,4,D,Kenta FUNAYAMA,Japan,LAURENT Medhi,France,1,0,3,0
5,4,D,Kenta FUNAYAMA,Japan,Howard Ríos,Colombia,1,0,3,1
5,4,D,Sajjad Dareini,Iran,LAURENT Medhi,France,1,0,3,0
5,4,D,Sajjad Dareini,Iran,Howard Ríos,Colombia,3,0,1,0
5,4,D,LAURENT Medhi,France,Howard Ríos,Colombia,3,0,1,0
5,5,A,Szabára Dávid,Hungary,SAYT ESMIT OZUNA CEBALLOS,Colombia,3,0,1,0
5,5,A,Szabára Dávid,Hungary,Mamadou Marrif SOW,Guinea Conakry,3,0,1,0
5,5,A,SAYT ESMIT OZUNA CEBALLOS,Colombia,Mamadou Marrif SOW,Guinea Conakry,1,0,3,0
5,5,B,POSKOCHIN OLEKSANDR,Ukraine,FATİH ÖREN,Turkey,1,1,3,2
5,5,B,POSKOCHIN OLEKSANDR,Ukraine,Florian SUBDURALLY,Mauritius,1,0,3,0
5,5,B,FATİH ÖREN,Turkey,Florian SUBDURALLY,Mauritius,1,2,3,0
5,5,C,Smael Mayouf,Algeria,Rishav Sharma,India,3,1,1,0
5,5,C,Smael Mayouf,Algeria,Nour-Eddine Behhdadi,Canada,3,1,1,0
5,5,C,Rishav Sharma,India,Nour-Eddine Behhdadi,Canada,1,0,3,0
5,5,D,Kirill KURILKO,Neutral Athlete,Nihat GULIYEV,Azerbaijan,1,1,3,0
5,5,D,Kirill KURILKO,Neutral Athlete,Rony BAABAN A,Cameroon,1,2,3,1
5,5,D,Nihat GULIYEV,Azerbaijan,Rony BAABAN A,Cameroon,3,0,1,0
5,5,E,HEUNG TSZ HEI,"Hong Kong, China",Hamzeh Moradian,Iran,1,0,3,0
5,5,E,HEUNG TSZ HEI,"Hong Kong, China",DEL GIUDICE YANIS,Belgium,-1,3,3,0
5,5,E,Hamzeh Moradian,Iran,DEL GIUDICE YANIS,Belgium,3,0,1,1
5,5,F,DESARME Pierre-Ley,France,SERIGNE FALLOU MBOUP,Senegal,3,0,1,1
5,5,F,DESARME Pierre-Ley,France,Matei Stefan,Romania,3,0,1,0
5,5,F,SERIGNE FALLOU MBOUP,Senegal,Matei Stefan,Romania,3,0,1,0
5,6,A,LOPEZ Ousmane,Senegal,HÜSEYİN KARAAĞAÇ,Turkey,1,2,3,1
5,6,A,LOPEZ Ousmane,Senegal,Yonier Mauricio Cruz Salamanca,Colombia,3,0,1,0
5,6,A,HÜSEYİN KARAAĞAÇ,Turkey,Yonier Mauricio Cruz Salamanca,Colombia,1,2,3,2
5,6,B,Kamel Mayouf,Algeria,Yordan Yordanov,Bulgaria,3,1,1,2
5,6,B,Kamel Mayouf,Algeria,Mihajlo Dodić,Serbia,3,0,1,1
5,6,B,Yordan Yordanov,Bulgaria,Mihajlo Dodić,Serbia,3,0,1,0
5,6,C,Narek BABADZHANIAN,Neutral Athlete,Gadir BARKHUDARLI,Azerbaijan,3,0,-1,3
5,6,C,Narek BABADZHANIAN,Neutral Athlete,Robert Rijetković,Croatia,1,2,3,0
5,6,C,Gadir BARKHUDARLI,Azerbaijan,Robert Rijetković,Croatia,1,1,3,1
5,6,D,Tommaso Mari,Italy,CHAN WAI YIP,"Hong Kong, China",3,0,1,2
5,6,D,Tommaso Mari,Italy,Sergey Drobinsky,Germany,3,0,1,0
