bout_id,date,time,ring,category,agecat,weightcat,phase,poule,red,red_country,blue,blue_country,red_points,blue_points,winner_corner,winner,loser,decision,status,result_source
b001,2026-09-10,09:00,1,Senior Men Assaut -75 kg,5,7,poule,A,Farkas Botond,Hungary,Mohamed Sidiki GUISSE,Guinea Conakry,3,1,red,Farkas Botond,Mohamed Sidiki GUISSE,points,decided,reported
b002,2026-09-10,09:00,2,Senior Men Assaut -80 kg,5,9,poule,F,AmirReza Zarghani,Iran,KOSTIUK NAZARII,Ukraine,3,1,red,AmirReza Zarghani,KOSTIUK NAZARII,points,decided,reported
b003,2026-09-10,09:00,3,Senior Men Assaut +85 kg,5,11,poule,D,Pharelle Wilson AKOUAN,Cameroon,Balla TRAORÉ,Mali,1,3,blue,Balla TRAORÉ,Pharelle Wilson AKOUAN,points,decided,reported
b004,2026-09-10,09:13,1,Senior Men Assaut -75 kg,5,7,poule,B,VOINOV VITALII,Ukraine,GAREL Florian,Chinese Taipei,1,3,blue,GAREL Florian,VOINOV VITALII,points,decided,reported
b005,2026-09-10,09:13,2,Senior Men Assaut -80 kg,5,9,poule,F,TOGNOCCHI JULIEN,Belgium,BIENVENU Jovan,France,1,3,blue,BIENVENU Jovan,TOGNOCCHI JULIEN,points,decided,reported
b006,2026-09-10,09:13,3,Senior Men Assaut +85 kg,5,11,poule,D,Gabriele Fioravanti,Italy,Keivan Zarghani,Iran,3,1,red,Gabriele Fioravanti,Keivan Zarghani,points,decided,reported
b007,2026-09-10,09:26,1,Senior Men Assaut -75 kg,5,7,poule,C,Kevin Truesdale,New Zealand,Bartol Pavičić,Croatia,1,3,blue,Bartol Pavičić,Kevin Truesdale,points,decided,reported
b008,2026-09-10,09:26,2,Senior Men Assaut -70 kg,5,6,poule,A,HÜSEYİN KARAAĞAÇ,Turkey,Yonier Mauricio Cruz Salamanca,Colombia,1,3,blue,Yonier Mauricio Cruz Salamanca,HÜSEYİN KARAAĞAÇ,points,decided,reported
b009,2026-09-10,09:26,3,Senior Men Assaut -60kg,5,4,poule,A,Andrei KOTOCHIGOV,Neutral Athlete,Gregory THOMASOO,Mauritius,1,3,blue,Gregory THOMASOO,Andrei KOTOCHIGOV,points,decided,reported
b010,2026-09-10,09:39,1,Senior Men Assaut -75 kg,5,7,poule,D,NYAMA André,Cameroon,NG KWAI LAP,"Hong Kong, China",3,1,red,NYAMA André,NG KWAI LAP,points,decided,reported
b011,2026-09-10,09:39,2,Senior Men Assaut -70 kg,5,6,poule,B,Yordan Yordanov,Bulgaria,Mihajlo Dodić,Serbia,3,1,red,Yordan Yordanov,Mihajlo Dodić,points,decided,reported
b012,2026-09-10,09:39,3,Senior Men Assaut -60kg,5,4,poule,B,Kais Garayalde,Algeria,Robin Drigues,Canada,3,1,red,Kais Garayalde,Robin Drigues,points,decided,reported
b013,2026-09-10,09:52,1,Senior Men Assaut -75 kg,5,7,poule,E,Johannes Stindt,Germany,Farzam Fallah,Iran,1,3,blue,Farzam Fallah,Johannes Stindt,points,decided,reported
b014,2026-09-10,09:52,2,Senior Men Assaut -70 kg,5,6,poule,C,Narek BABADZHANIAN,Neutral Athlete,Robert Rijetković,Croatia,1,3,blue,Robert Rijetković,Narek BABADZHANIAN,points,decided,reported
b015,2026-09-10,09:52,3,Senior Men Assaut -60kg,5,4,poule,C,TONG SIU WANG VINCENT,"Hong Kong, China",Yasin IBRAHIMOV,Azerbaijan,1,3,blue,Yasin IBRAHIMOV,TONG SIU WANG VINCENT,points,decided,reported
b016,2026-09-10,10:05,1,Senior Men Assaut -75 kg,5,7,poule,F,D'ERRICO JULIEN,Belgium,CAMARA Mohamadou,Senegal,3,1,red,D'ERRICO JULIEN,CAMARA Mohamadou,points,decided,reported
b017,2026-09-10,10:05,2,Senior Men Assaut -70 kg,5,6,poule,D,Tommaso Mari,Italy,Sergey Drobinsky,Germany,3,1,red,Tommaso Mari,Sergey Drobinsky,points,decided,reported
b018,2026-09-10,10:05,3,Senior Men Assaut -60kg,5,4,poule,D,Kenta FUNAYAMA,Japan,LAURENT Medhi,France,1,3,blue,LAURENT Medhi,Kenta FUNAYAMA,points,decided,reported
b019,2026-09-10,10:18,1,Senior Men Assaut -80 kg,5,9,poule,A,IDRISSA SAGNA,Senegal,Aditya Amol Khandizod,India,3,1,red,IDRISSA SAGNA,Aditya Amol Khandizod,points,decided,reported
b020,2026-09-10,10:18,2,Senior Men Assaut -70 kg,5,6,poule,D,CHAN WAI YIP,"Hong Kong, China",MohammadHossein Fallah,Iran,1,3,blue,MohammadHossein Fallah,CHAN WAI YIP,points,decided,reported
b021,2026-09-10,10:18,3,Senior Men Assaut -60kg,5,4,poule,D,Sajjad Dareini,Iran,Howard Ríos,Colombia,3,1,red,Sajjad Dareini,Howard Ríos,points,decided,reported
b022,2026-09-10,10:31,1,Senior Men Assaut -75 kg,5,7,poule,A,Chant HOVHANNISYAN,Armenia,Mohamed Sidiki GUISSE,Guinea Conakry,,3,blue,Mohamed Sidiki GUISSE,Chant HOVHANNISYAN,forfait,decided,reported
b023,2026-09-10,10:31,2,Senior Men Assaut -70 kg,5,6,poule,E,GHASSIRI Johan,France,BRANTSYRA ARTEM,Ukraine,3,1,red,GHASSIRI Johan,BRANTSYRA ARTEM,points,decided,reported
b024,2026-09-10,10:31,3,Senior Women Assaut -56 kg,6,3,poule,A,Bukovinszky Luca,Hungary,Esther Yamina Noelle OTMANI,Algeria,3,1,red,Bukovinszky Luca,Esther Yamina Noelle OTMANI,points,decided,reported
b025,2026-09-10,10:44,1,Senior Men Assaut -75 kg,5,7,poule,B,Mehmet Emin ERTUĞRUL,Turkey,GAREL Florian,Chinese Taipei,3,1,red,Mehmet Emin ERTUĞRUL,GAREL Florian,points,decided,reported
b026,2026-09-10,10:44,2,Senior Men Assaut +85 kg,5,11,poule,A,NAROU Yoann,France,Mutéba Orphée Francis FWAMBA,Democratic Republic of Congo,3,1,red,NAROU Yoann,Mutéba Orphée Francis FWAMBA,points,decided,reported
b027,2026-09-10,10:44,3,Senior Women Assaut -56 kg,6,3,poule,B,Viivi Hirvonen,Finland,Asia Carducci,Italy,3,1,red,Viivi Hirvonen,Asia Carducci,points,decided,reported
b028,2026-09-10,10:57,1,Senior Men Assaut -75 kg,5,7,poule,C,Radoje Stevanović,Serbia,Bartol Pavičić,Croatia,1,3,blue,Bartol Pavičić,Radoje Stevanović,points,decided,reported
b029,2026-09-10,10:57,2,Senior Men Assaut -70 kg,5,6,poule,E,DIRICQ ENZO,Belgium,ATTOUGBRE Yves Alain,Ivory Coast,3,1,red,DIRICQ ENZO,ATTOUGBRE Yves Alain,points,decided,reported
b030,2026-09-10,10:57,3,Senior Women Assaut -56 kg,6,3,poule,B,Anja Lukić,Serbia,Katarina Klarić,Croatia,1,3,blue,Katarina Klarić,Anja Lukić,points,decided,reported
b031,2026-09-10,11:10,1,Senior Men Assaut -75 kg,5,7,poule,D,Simone Cogrossi,Italy,NG KWAI LAP,"Hong Kong, China",3,1,red,Simone Cogrossi,NG KWAI LAP,points,decided,reported
b032,2026-09-10,11:10,2,Senior Men Assaut +85 kg,5,11,poule,B,Sabri Sahraoui,Algeria,Anthony Colli,Canada,3,1,red,Sabri Sahraoui,Anthony Colli,points,decided,reported
b033,2026-09-10,11:10,3,Senior Women Assaut -56 kg,6,3,poule,C,Rumi UMEDA,Japan,KERRINCKX ELISABETH,Belgium,1,3,blue,KERRINCKX ELISABETH,Rumi UMEDA,points,decided,reported
b034,2026-09-10,11:23,1,Senior Men Assaut -75 kg,5,7,poule,E,Yoshinori HASHIMOTO,Japan,Farzam Fallah,Iran,1,3,blue,Farzam Fallah,Yoshinori HASHIMOTO,points,decided,reported
b035,2026-09-10,11:23,2,Senior Men Assaut -70 kg,5,6,poule,C,Gadir BARKHUDARLI,Azerbaijan,Robert Rijetković,Croatia,1,3,blue,Robert Rijetković,Gadir BARKHUDARLI,points,decided,reported
b036,2026-09-10,11:23,3,Senior Women Assaut -56 kg,6,3,poule,C,LOBJEOIS Gwendoline,France,SAPONOVA ALISA,Ukraine,3,1,red,LOBJEOIS Gwendoline,SAPONOVA ALISA,points,decided,reported
b037,2026-09-10,11:36,1,Senior Men Assaut -75 kg,5,7,poule,F,GARCIA Iden,France,Omidullah Alizadah,Refugee,3,1,red,GARCIA Iden,Omidullah Alizadah,points,decided,reported
b038,2026-09-10,11:36,2,Senior Men Assaut +85 kg,5,11,poule,C,Nikola Vukčević,Serbia,Egor GOLOVCHENKO,Neutral Athlete,3,1,red,Nikola Vukčević,Egor GOLOVCHENKO,points,decided,reported
b039,2026-09-10,11:36,3,Senior Men Assaut -56 kg,5,3,poule,A,Cheikh THIAM,Senegal,SALDIRAY KALKAN,Turkey,3,,red,Cheikh THIAM,SALDIRAY KALKAN,disqualification,decided,reported
b040,2026-09-10,11:49,1,Senior Men Assaut -80 kg,5,9,poule,A,IDRISSA SAGNA,Senegal,KEREM ALTAY,Turkey,3,1,red,IDRISSA SAGNA,KEREM ALTAY,points,decided,reported
b041,2026-09-10,11:49,2,Senior Men Assaut -70 kg,5,6,poule,D,Sergey Drobinsky,Germany,MohammadHossein Fallah,Iran,1,3,blue,MohammadHossein Fallah,Sergey Drobinsky,points,decided,reported
b042,2026-09-10,11:49,3,Senior Men Assaut -56 kg,5,3,poule,B,Li Yu Hung,Chinese Taipei,Anthony Ghassiri,Algeria,1,3,blue,Anthony Ghassiri,Li Yu Hung,points,decided,reported
b043,2026-09-10,12:02,1,Senior Men Assaut -80 kg,5,9,poule,B,James Antill,Great Britain,Georgi Dimitrov,Bulgaria,3,1,red,James Antill,Georgi Dimitrov,points,decided,reported
b044,2026-09-10,12:02,2,Senior Men Assaut +85 kg,5,11,poule,C,Sanan BABAZADE,Azerbaijan,Luka Sakač,Croatia,1,3,blue,Luka Sakač,Sanan BABAZADE,points,decided,reported
b045,2026-09-10,12:02,3,Senior Women Assaut -56 kg,6,3,poule,A,ELİF YALIM,Turkey,Esther Yamina Noelle OTMANI,Algeria,3,1,red,ELİF YALIM,Esther Yamina Noelle OTMANI,points,decided,reported
b046,2026-09-10,13:15,1,Senior Men Assaut -80 kg,5,9,poule,C,GHARRAS Amor,Tunisia,LACHENAL Edouard,Switzerland,1,3,blue,LACHENAL Edouard,GHARRAS Amor,points,decided,reported
b047,2026-09-10,13:15,2,Senior Men Assaut -70 kg,5,6,poule,E,DIRICQ ENZO,Belgium,GHASSIRI Johan,France,1,3,blue,GHASSIRI Johan,DIRICQ ENZO,points,decided,reported
b048,2026-09-10,13:15,3,Senior Women Assaut -56 kg,6,3,poule,B,Anja Lukić,Serbia,Viivi Hirvonen,Finland,3,1,red,Anja Lukić,Viivi Hirvonen,points,decided,reported
b049,2026-09-10,13:28,1,Senior Men Assaut -75 kg,5,7,poule,F,D'ERRICO JULIEN,Belgium,Omidullah Alizadah,Refugee,3,1,red,D'ERRICO JULIEN,Omidullah Alizadah,points,decided,reported
b050,2026-09-10,13:28,2,Senior Men Assaut -70 kg,5,6,poule,E,ATTOUGBRE Yves Alain,Ivory Coast,BRANTSYRA ARTEM,Ukraine,3,1,red,ATTOUGBRE Yves Alain,BRANTSYRA ARTEM,points,decided,reported
b051,2026-09-10,13:28,3,Senior Women Assaut -56 kg,6,3,poule,B,Katarina Klarić,Croatia,Asia Carducci,Italy,1,3,blue,Asia Carducci,Katarina Klarić,points,decided,reported
b052,2026-09-10,13:41,1,Senior Men Assaut -75 kg,5,7,poule,F,GARCIA Iden,France,CAMARA Mohamadou,Senegal,3,1,red,GARCIA Iden,CAMARA Mohamadou,points,decided,reported
