tournament,bout_id,date,time,ring,category,gender,age_class,weight_kg,weight_bound,phase,poule,red,red_country,red_club,red_weighed,blue,blue_country,blue_club,blue_weighed,red_points,blue_points,red_warnings,blue_warnings,winner_corner,winner,loser,decision,decision_detail,status,result_source
world-assaut-2026,world-assaut-2026-0001,2026-09-10,09:00,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,A,Farkas Botond,Hungary,,,Mohamed Sidiki GUISSE,Guinea,,,3,1,1,1,red,Farkas Botond,Mohamed Sidiki GUISSE,points,,decided,reported
world-assaut-2026,world-assaut-2026-0002,2026-09-10,09:00,2,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,F,AmirReza Zarghani,Iran,,,KOSTIUK NAZARII,Ukraine,,,3,1,0,0,red,AmirReza Zarghani,KOSTIUK NAZARII,points,,decided,reported
world-assaut-2026,world-assaut-2026-0003,2026-09-10,09:00,3,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,D,Pharelle Wilson AKOUAN,Cameroon,,,Balla TRAORÉ,Mali,,,1,3,2,0,blue,Balla TRAORÉ,Pharelle Wilson AKOUAN,points,,decided,reported
world-assaut-2026,world-assaut-2026-0004,2026-09-10,09:13,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,B,VOINOV VITALII,Ukraine,,,GAREL Florian,Chinese Taipei,,,1,3,1,0,blue,GAREL Florian,VOINOV VITALII,points,,decided,reported
world-assaut-2026,world-assaut-2026-0005,2026-09-10,09:13,2,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,F,TOGNOCCHI JULIEN,Belgium,,,BIENVENU Jovan,France,,,1,3,0,0,blue,BIENVENU Jovan,TOGNOCCHI JULIEN,points,,decided,reported
world-assaut-2026,world-assaut-2026-0006,2026-09-10,09:13,3,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,D,Gabriele Fioravanti,Italy,,,Keivan Zarghani,Iran,,,3,1,0,1,red,Gabriele Fioravanti,Keivan Zarghani,points,,decided,reported
world-assaut-2026,world-assaut-2026-0007,2026-09-10,09:26,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,C,Kevin Truesdale,New Zealand,,,Bartol Pavičić,Croatia,,,1,3,0,0,blue,Bartol Pavičić,Kevin Truesdale,points,,decided,reported
world-assaut-2026,world-assaut-2026-0008,2026-09-10,09:26,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,A,HÜSEYİN KARAAĞAÇ,Turkey,,,Yonier Mauricio Cruz Salamanca,Colombia,,,1,3,2,2,blue,Yonier Mauricio Cruz Salamanca,HÜSEYİN KARAAĞAÇ,points,,decided,reported
world-assaut-2026,world-assaut-2026-0009,2026-09-10,09:26,3,Senior Men Assaut -60kg,Men,Senior,60,under,poule,A,Andrei KOTOCHIGOV,Neutral Athlete,,,Gregory THOMASOO,Mauritius,,,1,3,1,0,blue,Gregory THOMASOO,Andrei KOTOCHIGOV,points,,decided,reported
world-assaut-2026,world-assaut-2026-0010,2026-09-10,09:39,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,D,NYAMA André,Cameroon,,,NG KWAI LAP,Hong Kong,,,3,1,0,0,red,NYAMA André,NG KWAI LAP,points,,decided,reported
world-assaut-2026,world-assaut-2026-0011,2026-09-10,09:39,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,B,Yordan Yordanov,Bulgaria,,,Mihajlo Dodić,Serbia,,,3,1,0,0,red,Yordan Yordanov,Mihajlo Dodić,points,,decided,reported
world-assaut-2026,world-assaut-2026-0012,2026-09-10,09:39,3,Senior Men Assaut -60kg,Men,Senior,60,under,poule,B,Kais Garayalde,Algeria,,,Robin Drigues,Canada,,,3,1,0,0,red,Kais Garayalde,Robin Drigues,points,,decided,reported
world-assaut-2026,world-assaut-2026-0013,2026-09-10,09:52,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,E,Johannes Stindt,Germany,,,Farzam Fallah,Iran,,,1,3,0,0,blue,Farzam Fallah,Johannes Stindt,points,,decided,reported
world-assaut-2026,world-assaut-2026-0014,2026-09-10,09:52,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,C,Narek BABADZHANIAN,Neutral Athlete,,,Robert Rijetković,Croatia,,,1,3,2,0,blue,Robert Rijetković,Narek BABADZHANIAN,points,,decided,reported
world-assaut-2026,world-assaut-2026-0015,2026-09-10,09:52,3,Senior Men Assaut -60kg,Men,Senior,60,under,poule,C,TONG SIU WANG VINCENT,Hong Kong,,,Yasin IBRAHIMOV,Azerbaijan,,,1,3,1,0,blue,Yasin IBRAHIMOV,TONG SIU WANG VINCENT,points,,decided,reported
world-assaut-2026,world-assaut-2026-0016,2026-09-10,10:05,1,Senior Men Assaut -75 kg,Men,Senior,75,under,poule,F,D'ERRICO JULIEN,Belgium,,,CAMARA Mohamadou,Senegal,,,3,1,0,0,red,D'ERRICO JULIEN,CAMARA Mohamadou,points,,decided,reported
world-assaut-2026,world-assaut-2026-0017,2026-09-10,10:05,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,D,Tommaso Mari,Italy,,,Sergey Drobinsky,Germany,,,3,1,0,0,red,Tommaso Mari,Sergey Drobinsky,points,,decided,reported
